Timestamp,Sensor Value,Elapsed Time (s)
2025-03-01 19:26:00.837395,433,0.0
2025-03-01 19:26:01.849671,444,1.012276
2025-03-01 19:26:02.861416,388,2.024021
2025-03-01 19:26:03.866283,243,3.028888
2025-03-01 19:26:04.877354,233,4.039959
2025-03-01 19:26:05.910003,188,5.072608
2025-03-01 19:26:07.069740,272,6.232345
2025-03-01 19:26:08.233768,437,7.396373
2025-03-01 19:26:09.365274,396,8.527879
2025-03-01 19:26:10.522103,346,9.684708
